www.17u.com                   	125.39.128.163, 125.39.128.165, 125.39.128.166, 125.39.128.167, 125.39.128.168, 125.39.128.169, 125.39.128.170, 125.39.128.171, 125.39.128.242, 125.39.128.243, 125.39.128.244, 125.39.128.245, 125.39.128.246, 125.39.128.248, 125.39.128.249, 125.39.128.250
pic.17u.com                   	121.29.61.51, 121.29.61.61, 220.194.79.107, 220.194.79.73, 220.195.19.69
dm.17u.com                    	61.147.84.45
big5.17u.com                  	103.242.101.233
wap.17u.com                   	61.177.22.232
touch.17u.com                 	61.177.22.232
bus.17u.com                   	61.177.22.232
mail.17u.com                  	58.211.111.24
agent.17u.com                 	61.155.159.54
m.17u.com                     	61.177.22.232
css.17u.com                   	101.28.133.95, 101.28.133.98, 101.72.202.212, 101.72.202.215, 119.167.197.116, 119.188.99.193, 221.194.146.251, 221.194.147.227, 221.194.147.229, 27.221.120.119, 27.221.56.243, 27.221.84.212, 27.221.84.214, 27.221.84.218
img.17u.com                   	121.29.61.51, 121.29.61.61, 220.194.79.107, 220.194.79.73, 220.195.19.69
3g.17u.com                    	61.177.22.232
edm.17u.com                   	61.147.84.45
down.17u.com                  	61.177.22.232
upload.17u.com                	121.29.61.51, 121.29.61.61, 220.194.79.107, 220.194.79.73, 220.195.19.69
js.17u.com                    	121.29.61.51, 121.29.61.61, 220.194.79.107, 220.194.79.73, 220.195.19.69
