u.baidu.com                   	111.206.37.231
img.baidu.com                 	61.135.186.152
cdn.baidu.com                 	10.36.3.156
opera.baidu.com               	10.40.8.31
hd.baidu.com                  	180.149.131.33
translate.baidu.com           	111.202.114.53
support.baidu.com             	106.120.159.236
cc.baidu.com                  	10.26.7.113, 10.36.253.83
tu.baidu.com                  	123.125.115.60
th.baidu.com                  	111.13.101.208, 123.125.114.144, 180.149.132.47, 220.181.57.217
qs.baidu.com                  	10.105.97.106
bp.baidu.com                  	10.46.129.37
index.baidu.com               	111.202.114.69, 220.181.107.164
dj.baidu.com                  	180.76.141.217, 180.76.183.17
yuedu.baidu.com               	123.125.115.55, 61.135.185.66
fun.baidu.com                 	112.80.248.125, 123.125.115.149
zp.baidu.com                  	182.61.200.216
3g.baidu.com                  	61.135.186.217, 61.135.186.218
itp.baidu.com                 	10.100.65.52
bai.baidu.com                 	10.46.11.186
billboard.baidu.com           	10.46.7.199
wenku.baidu.com               	123.125.115.55, 61.135.185.66
files.baidu.com               	10.65.43.129
video.baidu.com               	180.149.131.248, 220.181.57.196
lab.baidu.com                 	180.149.132.122, 180.149.144.192
author.baidu.com              	111.206.37.66
d.baidu.com                   	123.125.114.144
root.baidu.com                	180.149.131.33
ka.baidu.com                  	10.42.3.102, 10.81.211.194
lc.baidu.com                  	123.125.115.217
jeep.baidu.com                	10.92.33.29
ns4.baidu.com                 	14.215.178.80
update.baidu.com              	180.97.104.132
w.baidu.com                   	123.125.114.144
conf.baidu.com                	115.239.217.57
sniffer.baidu.com             	10.26.7.220, 10.65.211.87
wallet.baidu.com              	111.206.223.244
checkpoint.baidu.com          	10.26.252.56
security.baidu.com            	10.58.121.74
nc.baidu.com                  	112.34.111.20, 123.125.115.81, 180.97.104.48
email.baidu.com               	111.202.115.87
source.baidu.com              	106.120.159.176
ls.baidu.com                  	163.177.151.225, 202.106.2.43
at.baidu.com                  	10.42.122.102
ns3.baidu.com                 	112.80.248.64
mis.baidu.com                 	10.42.79.56, 10.46.150.64
openview.baidu.com            	10.23.240.246
js.baidu.com                  	202.106.2.14, 202.106.2.53
tiger.baidu.com               	10.46.28.36
sim.baidu.com                 	10.83.128.155
mx2.baidu.com                 	61.135.163.62
vote.baidu.com                	111.206.223.77, 111.206.223.79, 112.80.248.26, 112.80.248.27, 157.255.77.16, 157.255.77.17
edm.baidu.com                 	112.80.248.186, 163.177.151.172
xh.baidu.com                  	10.208.7.65
jpaas-aduoff00.baidu.com      	10.83.128.155
house.baidu.com               	153.37.235.12
edge.baidu.com                	111.202.114.187
movie.baidu.com               	123.125.114.32
product.baidu.com             	123.125.115.84
fb.baidu.com                  	180.149.131.33
ns6.baidu.com                 	14.215.179.57
feed.baidu.com                	115.239.217.67, 115.239.217.68
gps.baidu.com                 	10.242.116.21
