velocity.baidu.com            	119.75.222.175
dashboard.baidu.com           	10.26.21.23, 10.42.132.62
maven.baidu.com               	10.48.57.24
ns1.baidu.com                 	202.108.22.220
feeds.baidu.com               	111.202.114.36
media.baidu.com               	123.125.115.15
a.baidu.com                   	112.80.248.124, 123.125.114.38
beta.baidu.com                	111.206.37.130
civil.baidu.com               	111.202.114.151, 123.125.115.141, 153.3.236.50, 202.108.23.82
mx6.baidu.com                 	202.108.22.171
ca.baidu.com                  	111.202.115.77
live.baidu.com                	111.206.223.249, 61.135.185.159, 61.135.185.222
red.baidu.com                 	10.26.3.240, 10.36.4.130, 10.42.4.86, 10.91.160.44
enjoy.baidu.com               	112.80.255.88
crs.baidu.com                 	123.125.114.205, 123.125.114.237
t.baidu.com                   	112.80.255.214, 153.37.235.12
org.baidu.com                 	10.42.4.12
ddm.baidu.com                 	10.26.5.60, 10.50.14.165
zhanzhang.baidu.com           	123.125.115.62
idata.baidu.com               	10.26.5.60, 10.50.14.165
jpaas-ng.baidu.com            	10.26.5.60, 10.50.14.165
i.baidu.com                   	220.181.57.110
kk.baidu.com                  	182.61.200.216
edu.baidu.com                 	220.181.57.154, 220.181.57.155
mck.baidu.com                 	182.61.200.216
banner.baidu.com              	180.149.132.15
wz.baidu.com                  	220.181.33.120, 220.181.33.126
rock.baidu.com                	10.202.105.28
news.baidu.com                	106.120.159.43, 180.149.145.156
ee.baidu.com                  	10.46.133.175
nl.baidu.com                  	10.42.7.232
site.baidu.com                	123.125.114.5
system.baidu.com              	10.26.109.19
spam.baidu.com                	172.31.63.13
tech.baidu.com                	111.202.114.151, 123.125.115.141, 153.3.236.50, 202.108.23.82
fm.baidu.com                  	180.76.141.217, 180.76.183.17
webdev.baidu.com              	42.81.116.48
la.baidu.com                  	10.83.128.238
ly.baidu.com                  	115.239.217.166
openweb.baidu.com             	123.125.132.48
ns5.baidu.com                 	220.181.33.63
orion.baidu.com               	10.26.5.201
hermes.baidu.com              	10.95.117.30
or.baidu.com                  	123.125.115.15
sl.baidu.com                  	112.80.255.125
enterprise.baidu.com          	111.206.37.204, 112.80.255.48, 163.177.151.63
ad.baidu.com                  	182.61.62.50
global.baidu.com              	103.235.46.83
bank.baidu.com                	106.120.159.43, 180.149.145.156
power.baidu.com               	106.120.159.161
rds.baidu.com                 	10.26.88.12
kj.baidu.com                  	10.48.48.31
scm.baidu.com                 	10.42.8.234
traffic.baidu.com             	10.242.15.216
dp.baidu.com                  	10.99.54.20
zy.baidu.com                  	112.80.255.152, 123.125.115.59
jn.baidu.com                  	112.80.255.125
zt.baidu.com                  	112.80.248.210
vpn.baidu.com                 	61.135.165.126
jr.baidu.com                  	106.39.162.91
dss.baidu.com                 	10.65.211.95
football.baidu.com            	10.36.7.221, 10.81.211.74
tx.baidu.com                  	10.208.6.173, 10.208.6.174
